GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
CAF,CAF.12_1,TROF,7.694,7.369,7.02,6.353,5.99,5.869
CAF,CAF.13_1,TROF,3.514,3.599,3.648,3.883,4.253,4.589
CAF,CAF.14_1,TROF,0.9879,1.088,1.185,1.245,1.43,1.658
CAF,CAF.15_1,TROF,3.119,3.204,3.415,3.625,4.038,4.095
CAF,CAF.16_1,TROF,20.3,22.23,21.95,21.72,21.89,23.17
CAF,CAF.17_1,TROF,3.284,2.694,2.124,1.553,1.048,0.6854
CAF,CAF.1_1,TROF,5.068,5.345,5.908,6.322,8.299,8.996
CAF,CAF.2_1,TROF,23.63,20.81,18.07,15.36,12.67,10.03
CAF,CAF.3_1,TROF,1.917,2.098,2.046,2.071,2.251,2.433
CAF,CAF.4_1,TROF,93.34,74.08,56.9,41.7,28.74,18.24
CAF,CAF.5_1,TROF,7.317,7.507,7.591,7.548,7.649,8.081
CAF,CAF.6_1,TROF,8.864,9.206,9.356,9.794,9.886,9.838
CAF,CAF.7_1,TROF,20.53,23.75,25.57,25.7,26.8,28.31
CAF,CAF.8_1,TROF,19.02,22.76,23.46,26.34,26.22,29.81
CAF,CAF.9_1,TROF,17.25,15.7,13.74,11.88,10.46,10.03
CAN,CAN.11_1,TROF,0.1094,0.1101,0.1081,0.1011,0.09434,0.08879
CAN,CAN.2_1,TROF,1.732,1.518,1.299,1.085,0.8603,0.6348
CAN,CAN.3_1,TROF,9.606,8.873,8.141,7.408,6.675,10.52
CAN,CAN.9_1,TROF,0.08279,0.07707,0.07023,0.06224,0.05335,0.04534
CHE,CHE.12_1,TROF,0.2638,0.2487,0.2336,0.2185,0.2035,0.1884
CHE,CHE.16_1,TROF,0,0,0,0,0,0
CHE,CHE.1_1,TROF,1.459,1.33,1.202,1.074,0.9452,0.8168
CHE,CHE.21_1,TROF,1203,1116,1029,941.6,854.5,825.8
CHE,CHE.24_1,TROF,2.228,2.089,1.957,1.85,1.709,1.567
CHE,CHE.25_1,TROF,6.227,7.19,6.595,6.001,9.196,9.421
CHE,CHE.6_1,TROF,3.854,3.505,3.155,2.806,2.456,2.106
CHE,CHE.7_1,TROF,0.4236,0.3947,0.3659,0.3895,0.3579,0.3263
CHL,CHL.10_1,TROF,5740,3963,2511,1356,460.4,97.98
CHL,CHL.12_1,TROF,0.3982,0.4418,0.4492,0.4889,0.4878,0.4761
CHL,CHL.13_1,TROF,0.3,0.35,0.3627,0.3596,0.3553,0.3443
CHL,CHL.14_1,TROF,0.4633,0.4254,0.3964,0.3613,0.3176,0.287
CHL,CHL.16_1,TROF,2.167,1.987,1.947,1.85,1.674,1.457
CHL,CHL.3_1,TROF,2.314,1.905,1.704,1.645,1.437,1.311
CHL,CHL.6_1,TROF,0.1081,0.1054,0.1011,0.1089,0.10780000000000001,0.1067
CHL,CHL.7_1,TROF,1.502,1.398,1.346,1.253,1.313,1.208
CHL,CHL.8_1,TROF,0.5982,0.6079,0.5989,0.599,0.6004,0.5631
CHN,CHN.10_1,TROF,0.003835,0.004594,0.004859,0.005444,0.006352,0.007153
CHN,CHN.11_1,TROF,0.0295,0.02824,0.02681,0.02517,0.02441,0.02327
CHN,CHN.12_1,TROF,0.003204,0.005115,0.006359,0.007565,0.00885,0.01176
CHN,CHN.13_1,TROF,0.06248,0.05738,0.05341,0.05139,0.05101,0.05196
CHN,CHN.14_1,TROF,0.2203,0.1985,0.1777,0.1562,0.1385,0.1213
CHN,CHN.15_1,TROF,0.008179,0.01026,0.01145,0.01276,0.01497,0.01623
CHN,CHN.16_1,TROF,1.575,1.426,1.298,1.154,1.007,0.8582
CHN,CHN.17_1,TROF,0.0966,0.0998,0.1166,0.1225,0.1321,0.14
CHN,CHN.18_1,TROF,8.422e-4,0.001594,0.002222,0.002743,0.003202,0.003467
CHN,CHN.19_1,TROF,0.001361,0.001405,0.001514,0.002069,0.002815,0.002918
CHN,CHN.1_1,TROF,0.01144,0.01176,0.01189,0.0118,0.01198,0.01219
CHN,CHN.20_1,TROF,2.39e-5,2.182e-5,1.974e-5,3.763e-5,3.452e-5,1.231e-4
CHN,CHN.21_1,TROF,0,0,0,1.335e-4,1.266e-4,1.198e-4
CHN,CHN.22_1,TROF,0.02003,0.01713,0.01518,0.01582,0.0179,0.02158
CHN,CHN.23_1,TROF,5.759e-4,0.0015,0.002087,0.003266,0.004043,0.004633
CHN,CHN.24_1,TROF,0.03615,0.0456,0.06389,0.07937,0.0995,0.1107
CHN,CHN.25_1,TROF,0.02609,0.03087,0.03945,0.04699,0.05514,0.05597
CHN,CHN.26_1,TROF,0.2294,0.2324,0.2416,0.2487,0.2605,0.2857
CHN,CHN.27_1,TROF,0.007212,0.009807,0.01002,0.01091,0.012,0.0149
CHN,CHN.28_1,TROF,0.003311,0.003119,0.002821,0.002896,0.003188,0.002884
